idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
77,Pilonidal cyst,"['Skin growth', 'Lower body pain', 'Ache all over', 'Skin swelling', 'Pain of the anus', 'Bones are painful', 'Back mass or lump', 'Mass or swelling around the anus', 'Pelvic pain', 'Fluid retention', 'Low back swelling', 'Irregular appearing scalp']","A pilonidal cyst, also referred to as a pilonidal abscess, pilonidal sinus or sacrococcygeal fistula, is a cyst or abscess near or on the natal cleft of the buttocks that often contains hair and skin debris. ","['Wound care management', 'Complete physical skin exam performed (ML)', 'Incision and drainage (I d)', 'Excision (Removal)', 'Rectal examination', 'Culture wound', 'Other OR therapeutic procedures on skin and breast']","['Clindamycin', 'Miconazole Topical Product', 'Betamethasone-Clotrimazole Topical', 'Silver Nitrate Topical Each', 'Magnesium Sulfate', 'Quinidine', 'Clavulanate (Augmentin)', 'Salsalate', 'Sodium Hypochlorite Topical', 'Isosorbide Dinitrate', 'Linezolid (Zyvox)', 'Dicloxacillin']",disease
78,Crushing injury,"['Hand or finger pain', 'Foot or toe pain', 'Loss of sensation', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Ankle swelling', 'Knee swelling', 'Neck swelling', 'Lymphedema']",A crush injury is injury by an object that causes compression of the body. This form of injury is common following a natural disaster or after some form of trauma from a deliberate attack. Common concerns after an injury of this type are rhabdomyolysis and crush syndrome. ,"['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Prothrombin time assay (Prothrombin time)', 'Incision and drainage (I d)']","['Cephalexin', 'Cefazolin', 'Tetanus Toxoid Vaccine (Adacel)', 'Bupivacaine', 'Chromium Picolinate', 'Lidocaine Topical Product', 'Trolamine Salicylate Topical', 'Vecuronium', 'Dimenhydrinate (Dramamine)', 'Diphtheria Toxoid Vaccine (Prohibit)']",disease
79,Normal pressure hydrocephalus,"['Problems with movement', 'Headache', 'Disturbance of memory', 'Depressive or psychotic symptoms', 'Dizziness', 'Palpitations', 'Difficulty speaking', 'Involuntary urination', 'Fatigue', 'Hip lump or mass', 'Blood in urine', 'Drainage in throat']","Normal pressure hydrocephalus (NPH), also termed symptomatic hydrocephalus, occurs when there is an increase in intracranial pressure (ICP) due to an abnormal accumulation of cerebrospinal fluid (CSF) in the ventricles of the brain, which can cause ventriculomegaly. The ICP gradually falls but still maintains a slightly elevated level and the CSF pressure reaches a high normal level of 150 to 200 mmH2O. Measurements of ICP, therefore, are not usually elevated. Because of this equilibration, patients do not exhibit the classic signs that accompany increased intracranial pressure such as headache, nausea, vomiting, or altered consciousness, although some studies have shown pressure elevations to occur intermittently. However, the enlarged ventricles put increased pressure on the adjacent cortical tissue and cause myriad effects in the patient. The classic symptom triad (gait disturbance, urinary incontinence, and dementia or mental decline) was first described by Hakim and Adams in 1965. NPH is often misdiagnosed as Parkinson\'s disease, Alzheimer\'s disease, or dementia, due to its chronic nature and nonspecific presenting symptoms . Although the exact mechanism is unknown, normal-pressure hydrocephalus is thought to be a form of communicating hydrocephalus with impaired CSF reabsorption at the arachnoid granulations. ","['Radiographic imaging procedure', 'Magnetic resonance imaging (Mri)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Other OR therapeutic nervous system procedures', 'Psychotherapy', 'Insertion; replacement; or removal of extracranial ventricular shunt']","['Guanfacine (Intuniv)', 'Donepezil (Aricept)', 'Methylphenidate', 'Pyrilamine (Tritan)', 'Colestipol', 'Galantamine', 'Indapamide', 'Trimethobenzamide (Tigan)', 'Captopril', 'Desloratadine (Clarinex)', 'Pramipexole (Mirapex)']",test
80,Alopecia,"['Too little hair', 'Irregular appearing scalp', 'Skin rash', 'Skin swelling', 'Abnormal appearing skin', 'Dry or flaky scalp', 'Acne or pimples', 'Skin dryness, peeling, scaliness, or roughness', 'Itchy scalp', 'Itching of skin', 'Feeling ill', 'Skin growth']","Alopecia (/\xcb\x8c\xc3\xa6l\xc9\x99\xcb\x88pi\xcb\x90\xca\x83\xc9\x99/, from Classical Greek \xe1\xbc\x80\xce\xbb\xcf\x8e\xcf\x80\xce\xb7\xce\xbe, al\xc5\x8dp\xc4\x93x, meaning ""fox"") means loss of hair from the head or body. Alopecia can mean baldness, a term generally reserved for pattern alopecia or androgenic alopecia. Compulsive pulling of hair (trichotillomania) can also induce hair loss. Hairstyling routines such as tight ponytails or braids may cause traction alopecia. Both hair relaxer solutions, and hot hair irons can also induce hair loss. In some cases, alopecia is due to underlying medical conditions, such as iron deficiency. ","['Complete physical skin exam performed (ML)', 'Lipid panel', 'Other therapeutic procedures', 'Biopsy', 'Excision (Removal)', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Excision of skin lesion']","['Minoxidil Topical', 'Finasteride (Propecia)', 'Triamcinolone Topical Product', 'Clobetasol Topical', 'Fluocinonide Topical', 'Minoxidil (Rogaine)', 'Betamethasone Topical Product', 'Salicylic Acid Topical', 'Ketoconazole', 'Hydroxychloroquine (Plaquenil)', 'Anthralin Topical', 'Biotin']",disease
81,Hashimoto thyroiditis,"['Weight gain', 'Constipation', 'Heavy menstrual flow', 'Premenstrual tension or irritability', 'Warts', 'Difficulty in swallowing', 'Too little hair', 'Palpitations', 'Heartburn', 'Suprapubic pain', 'Abnormal involuntary movements', 'Feeling hot']",Hashimoto\'s thyroiditis or chronic lymphocytic thyroiditis is an autoimmune disease in which the thyroid gland is attacked by a variety of cell- and antibody-mediated immune processes. It was the first disease to be recognized as an autoimmune disease. It was first described by the Japanese specialist Hakaru Hashimoto in Germany in 1912. ,"['Hematologic tests (Blood test)', 'Complete physical skin exam performed (ML)', 'Lipid panel', 'Biopsy', 'Ultrasonography (Ultrasound)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Examination of foot']","['Thyroxine (Synthroid)', 'Lithium (Li)', 'Sumatriptan (Imitrex)', 'Cannabis (Schedule I Substance)', 'Propylthiouracil', 'Triiodothyronine (Cytomel)', 'Garlic Preparation (Kwai)', 'Methimazole', 'Guanfacine (Intuniv)']",disease
82,Flat feet,"['Foot or toe pain', 'Knee pain', 'Ankle pain', 'Problems with movement', 'Cramps and spasms', 'Feet turned in', 'Symptoms of eye', 'Foot or toe stiffness or tightness', 'Skin swelling', 'Weight gain', 'Skin growth', 'Retention of urine']","Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground. In some individuals (an estimated 20\xe2\x80\x9330% of the general population) the arch simply never develops in one foot (unilaterally) or both feet (bilaterally). ","['Examination of foot', 'Plain x-ray (X ray)', 'Complete physical skin exam performed (ML)', 'Physical therapy exercises (Exercises)', 'Rectal examination', 'Other non-OR therapeutic procedures on musculoskeletal system', 'Prophylactic vaccinations and inoculations']","['Influenza Virus Vaccine, H1N1, Inactivated', 'Garlic Preparation (Kwai)', 'Amantadine', 'Guanfacine (Intuniv)', 'Selenium Sulfide Topical', 'Varenicline (Chantix)', 'Nicotine', 'Tizanidine', 'Ropinirole', 'Eszopiclone (Lunesta)', 'Orphenadrine (Flexon)']",disease
83,Nonalcoholic liver disease (NASH),"['Sharp abdominal pain', 'Upper abdominal pain', 'Nausea', 'Dizziness', 'Diarrhea', 'Weight gain', 'Mouth ulcer', 'Chills', 'Paresthesia', 'Joint pain', 'Nosebleed', 'Regurgitation']"," valganciclovir (valcyte), ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Lipid panel', 'Electrolytes panel', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement']","['Vitamin E (Vita-E)', 'Valganciclovir (Valcyte)', 'Dapsone', 'Mycophenolate Mofetil (Cellcept)', 'Lactulose', 'Cyclosporine', 'Nadolol', 'Mesalamine (Asacol)', 'Epoetin Alfa (Procrit)', 'Dutasteride (Avodart)', 'Rabeprazole (Aciphex)', 'Glucosamine']",medication
84,Hemarthrosis,"['Knee pain', 'Knee swelling', 'Frequent urination', 'Shoulder pain', 'Ankle swelling', 'Knee lump or mass', 'Abnormal appearing skin', 'Ache all over', 'Knee stiffness or tightness', 'Problems with movement', 'Elbow cramps or spasms', 'Elbow weakness']","Hemarthrosis (or haemarthrosis, plural h(a)emarthroses) is a bleeding into joint spaces. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Other therapeutic procedures', 'Physical therapy exercises (Exercises)', 'Application of splint (Splinting)', 'Prothrombin time assay (Prothrombin time)', 'Arthrocentesis']","['Warfarin', 'Olmesartan (Benicar)', 'Vitamin B 12', 'Factor Ix Complex (Obsolete)', 'Cortisone', 'Nifedipine', 'Digoxin', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical']",disease
85,Pelvic organ prolapse,"['Involuntary urination', 'Frequent urination', 'Symptoms of bladder', 'Retention of urine', 'Suprapubic pain', 'Vaginal pain', 'Pelvic pain', 'Blood in urine', 'Pelvic pressure', 'Vaginal discharge', 'Excessive urination at night', 'Intermenstrual bleeding']","Prolapse literally means ""to fall out of place\xe2\x80\x9a"" from the Latin prolabi meaning ""to fall out."" In medicine, prolapse is a condition where organs, such as the uterus, fall down or slip out of place. It is used for organs protruding through the vagina or the rectum or for the misalignment of the valves of the heart. A spinal disc herniation is also sometimes called ""disc prolapse."" ","['Pelvis exam', 'Urinalysis', 'Examination of breast', 'Rectal examination', 'Mammography (Mammogram)', 'Other non-OR therapeutic procedures; female organs', 'Ultrasonography (Ultrasound)']","['Estradiol', 'Estrogens, Conjugated (Usp) (Premarin)', 'Tolterodine (Detrol)', 'Solifenacin (Vesicare)', 'Darifenacin (Enablex)', 'Terconazole Topical', 'Selegiline', 'Bethanechol', 'Imipramine', 'Tinidazole', 'Eprosartan (Teveten)']",disease
86,Fracture of the arm,"['Arm pain', 'Wrist pain', 'Elbow pain', 'Shoulder pain', 'Wrist swelling', 'Arm swelling', 'Elbow swelling', 'Arm stiffness or tightness', 'Wrist stiffness or tightness', 'Shoulder stiffness or tightness', 'Elbow stiffness or tightness']"," flumazenil, ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Orthopedic casting', 'Physical therapy exercises (Exercises)', 'Traction; splints; and other wound care', 'CAT scan of head (Head ct)']","['Ketamine', 'Flumazenil', 'Carboprost (Hemabate)', 'Methohexital (Brevital)', 'Digitoxin', 'Etomidate', 'Disopyramide', 'Turmeric Extract', 'Fluorides (F-)', 'Cephalothin', 'Fenoprofen (Progesic)']",medication
87,Coagulation (bleeding) disorder,"['Leg pain', 'Leg swelling', 'Nosebleed', 'Blood in urine', 'Eye redness', 'Melena', 'Lymphedema', 'Hemoptysis', 'Leg cramps or spasms', 'Early or late onset of menopause', 'Knee swelling', 'Vaginal pain']","Coagulopathy (also called clotting disorder and bleeding disorder) is a condition in which the blood\xe2\x80\x99s ability to clot is impaired. This condition can cause prolonged or excessive bleeding, which may occur spontaneously or following an injury or medical and dental procedures. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Prothrombin time assay (Prothrombin time)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Warfarin', 'Enoxaparin (Lovenox)', 'Heparin', 'Pyridoxine', 'Hydroxychloroquine (Plaquenil)', 'Acarbose', 'Vitamin K 1 (Mephyton)', 'Torsemide', 'Chlorotrianisene (Tace)', 'Protamines (Protamine)', 'Factor Viii', 'Menthol Topical']",disease
88,Intracranial hemorrhage,"['Headache', 'Depressive or psychotic symptoms', 'Disturbance of memory', 'Problems with movement', 'Dizziness', 'Seizures', 'Weakness', 'Vomiting', 'Joint pain', 'Abnormal involuntary movements', 'Diminished vision', 'Difficulty speaking']","An intracranial hemorrhage (ICH) is a hemorrhage, or bleeding, within the skull. ","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'CAT scan of head (Head ct)', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)']","['Phenytoin (Dilantin)', 'Tetanus Toxoid Vaccine (Adacel)', 'Amantadine', 'Labetalol', 'Mannitol', 'Donepezil (Aricept)', 'Nicardipine', 'Plasma Protein Fraction (Plasmanate)', 'Fosphenytoin', 'Desmopressin', 'Nimodipine', 'Hypromellose (Genteal)']",disease
89,Hyperkalemia,"['Shortness of breath', 'Weakness', 'Nausea', 'Vomiting', 'Dizziness', 'Sharp chest pain', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Decreased heart rate', 'Decreased appetite', 'Difficulty in swallowing']","Hyperkalemia (hyperkalaemia in British English, hyper- high; kalium, potassium; -emia, ""in the blood"") refers to the condition in which the concentration of the electrolyte potassium (K+) in the blood is elevated. Extreme hyperkalemia is a medical emergency due to the risk of potentially fatal abnormal heart rhythms (arrhythmia). ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Radiographic imaging procedure', 'Intravenous fluid replacement']","['Sodium Polystyrene Sulfonate (Kayexalate)', 'Insulin', 'Sodium Bicarbonate', 'Atropine (Uaa)', 'Epoetin Alfa (Procrit)', 'Magnesium Sulfate', 'Dopamine', 'Calcium Acetate', 'Isosorbide Mononitrate (Ismo)', 'Calcitriol', 'Hyoscyamine (A-Spas)']",symptom
90,Cornea infection,"['Pain in eye', 'Eye redness', 'Diminished vision', 'Symptoms of eye', 'Foreign body sensation in eye', 'Lacrimation', 'Eye burns or stings', 'Itchiness of eye', 'Spots or clouds in vision', 'Swollen eye', 'Lip swelling', 'Itchy eyelid']"," dexamethasone-tobramycin ophthalmic, ","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmologic and otologic diagnosis and treatment', 'Corneal transplant']","['Moxifloxacin (Avelox)', 'Dexamethasone-Tobramycin Ophthalmic', 'Erythromycin', 'Proparacaine Ophthalmic', 'Prednisolone Ophthalmic', 'Loteprednol-Tobramycin Ophthalmic', 'Cyclopentolate Ophthalmic', 'Cyclosporine Ophthalmic', 'Fluorometholone Ophthalmic', 'Tetracaine (One Touch)', 'Tobramycin (Tobi)', 'Ofloxacin Ophthalmic']",medication
91,Abscess of the lung,"['Cough', 'Sharp chest pain', 'Shortness of breath', 'Hemoptysis', 'Depressive or psychotic symptoms', 'Back pain', 'Drainage in throat', 'Vomiting', 'Headache', 'Itchy eyelid', 'Wrist weakness', 'Excessive growth']",Lung abscess is necrosis of the pulmonary tissue and formation of cavities (more than 2 cm) containing necrotic debris or fluid caused by microbial infection. ,"['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Cardiac monitoring (Cardiac monitor)', 'Other OR therapeutic nervous system procedures']","['Insulin', 'Metformin', 'Meropenem', 'Collagenase Topical', 'Vancomycin', 'Budesonide', 'Levetiracetam (Keppra)', 'Insulin, Aspart, Human (Novolog)', 'Combivent', 'Dexamethasone Topical Product', 'Docusate (Colace)']",disease
92,Dengue fever,"['Sore throat', 'Fever', 'Shoulder cramps or spasms', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Joint stiffness or tightness', 'Excessive anger', 'Pain or soreness of breast', 'Knee lump or mass', 'Facial pain', 'Pain in eye']","Dengue fever (UK /\xcb\x88d\xc9\x9b\xc5\x8b\xc9\xa1e\xc9\xaa/ or US /\xcb\x88d\xc9\x9b\xc5\x8b\xc9\xa1i\xcb\x90/), also known as breakbone fever, is an infectious tropical disease caused by the dengue virus. Symptoms include fever, headache, muscle and joint pains, and a characteristic skin rash that is similar to measles. In a small proportion of cases the disease develops into the life-threatening dengue hemorrhagic fever, resulting in bleeding, low levels of blood platelets and blood plasma leakage, or into dengue shock syndrome, where dangerously low blood pressure occurs. ","['Hematologic tests (Blood test)', 'Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)']","['Permethrin Topical', 'Hydroxyzine', 'Ranitidine', 'Acetaminophen', 'Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)']",symptom
93,Chronic sinusitis,"['Cough', 'Nasal congestion', 'Headache', 'Sore throat', 'Fever', 'Frontal headache', 'Coryza', 'Ear pain', 'Painful sinuses', 'Sinus congestion', 'Facial pain', 'Congestion in chest']","Sinusitis or rhinosinusitis is inflammation of the paranasal sinuses. It can be due to infection, allergy, or autoimmune issues. Most cases are due to a viral infection and resolve over the course of 10 days. It is a common condition, with over 24 million cases annually in the U.S. ","['X-ray computed tomography (Scan ct)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Diagnostic procedures on nose; mouth and pharynx', 'Influenzavirus antibody assay', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Other OR therapeutic procedures on nose; mouth and pharynx', 'Ophthalmologic and otologic diagnosis and treatment']","['Augmentin', 'Mometasone Nasal Product', 'Guaifenesin (Mucinex)', 'Clarithromycin', 'Cefdinir', 'Pseudoephedrine (Pcm-La)', 'Cefuroxime', 'Azelastine Nasal', 'Triamcinolone Nasal Product', 'Oxymetazoline Nasal']",disease
94,Cholesteatoma,"['Ear pain', 'Diminished hearing', 'Fluid in ear', 'Redness in ear', 'Nasal congestion', 'Mass on ear', 'Plugged feeling in ear', 'Bleeding from ear', 'Skin growth', 'Pus draining from ear', 'Allergic reaction', 'Muscle swelling']",Cholesteatoma is a destructive and expanding growth consisting of keratinizing squamous epithelium in the middle ear and/or mastoid process. ,"['Ophthalmologic and otologic diagnosis and treatment', 'Excision (Removal)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Wound care management', 'Lipid panel', 'Other therapeutic ear procedures', 'Prostate specific antigen measurement (Prostate specific antigen test)']","['Ofloxacin', 'Triamcinolone Nasal Product', 'Boric Acid Topical', 'Neomycin (Septa)', 'Theophylline', 'Dexamethasone-Tobramycin Ophthalmic', 'Desloratadine (Clarinex)', 'Olopatadine Ophthalmic']",disease
95,Volvulus,"['Sharp abdominal pain', 'Vomiting', 'Constipation', 'Burning abdominal pain', 'Peripheral edema', 'Back pain', 'Nausea', 'Depressive or psychotic symptoms', 'Diarrhea', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth']",A volvulus is a bowel obstruction where the loop of bowel has completely twisted around its site of mesenteric attachment. ,"['Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Plain x-ray (X ray)']","['Morphine (Rms)', 'Metronidazole', 'Midodrine', 'Repaglinide (Prandin)', 'Trimethobenzamide (Tigan)', 'Iohexol (Omnipaque)', 'Naloxone (Suboxone)', 'Lactulose', 'Zosyn', 'Amiodarone', 'Allopurinol', 'Midazolam (Versed)']",disease
96,Injury to the finger,"['Hand or finger pain', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Hand or finger weakness', 'Swelling of scrotum', 'Hand or finger lump or mass']","You use your fingers and thumbs to do everything from grasping objects to playing musical instruments to typing on a keyboard. When there is something wrong with them, it can make life difficult. Common problems include Injuries that result in fractures, ruptured ligaments and dislocations Osteoarthritis - wear-and-tear arthritis, which can also cause deformity Tendinitis - irritation of the tendons Dupuytren\'s contracture - a hereditary thickening of the tough tissue that lies just below the skin of your palm, which causes the fingers to stiffen and bend Trigger finger - an irritation of the sheath that surrounds the flexor tendons, sometimes causing the tendon to catch and release like a trigger ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Physical therapy exercises (Exercises)', 'Culture wound']","['Cephalexin', 'Cefazolin', 'Tetanus Toxoid Vaccine (Adacel)', 'Bupivacaine', 'Cefadroxil', 'Hydrogen Peroxide Topical', 'Phenylpropanolamine (E.N.T.)', 'Tranylcypromine (Parnate)', 'Lidocaine Topical Product', 'Albumin Human, Usp (Albutein)']",symptom
97,Poisoning due to analgesics,"['Depressive or psychotic symptoms', 'Depression', 'Vomiting', 'Abusing alcohol', 'Problems during pregnancy', 'Low self-esteem', 'Skin swelling', 'Heartburn', 'Hostile behavior', 'Throat irritation', 'Excessive anger', 'Blood in stool']"," acetylcysteine, ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Urinalysis', 'Intravenous fluid replacement', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Charcoal', 'Acetylcysteine', 'Naloxone (Suboxone)', 'Haloperidol', 'Dolasetron (Anzemet)', 'Sodium Citrate', 'Flumazenil', 'Vecuronium', 'Chlorpromazine (Thorazine)', 'Calcium Acetate']",medication
98,Atrial fibrillation,"['Shortness of breath', 'Sharp chest pain', 'Palpitations', 'Dizziness', 'Irregular heartbeat', 'Fatigue', 'Increased heart rate', 'Decreased heart rate']","Atrial fibrillation (AF or A-fib) is where the signal doesn\'t originate only from the SA node, and so the atrium doesn\'t contract simultaneously, causing an incredibly high heart beat, as well as lack of atrial systole. It is the most common cardiac arrhythmia (irregular heart beat). It may cause no symptoms, but it is often associated with palpitations, fainting, chest pain, or congestive heart failure. However, in some people atrial fibrillation is caused by otherwise idiopathic or benign conditions. ","['Hematologic tests (Blood test)', 'Electrocardiogram', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Intravenous fluid replacement', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Warfarin', 'Furosemide', 'Digoxin', 'Diltiazem', 'Carvedilol', 'Amiodarone', 'Sotalol', 'Potassium Chloride', 'Propafenone', 'Flecainide', 'Bumetanide', 'Torsemide']",symptom
99,Pinworm infection,"['Itching of the anus', 'Sharp abdominal pain', 'Pain of the anus', 'Skin rash', 'Constipation', 'Itching of skin', 'Painful urination', 'Neck mass', 'Retention of urine', 'Ankle pain', 'Burning abdominal pain', 'Coryza']","A pinworm infection or enterobiasis is a human parasitic disease and one of the most common childhood parasitic worm infections in the developed world. It is caused by infestation of the parasitic roundworm Enterobius vermicularis, commonly called the human pinworm. Infection usually occurs through the ingestion of pinworm eggs, either through contaminated hands, food, or less commonly, water. The chief symptom is itching in the anal area. The incubation time from ingestion of eggs to the first appearance of new eggs around the anus is 4 to 6 weeks. Pinworms are usually considered a nuisance rather than a serious disease. Treatment is straightforward in uncomplicated cases, however, elimination of the parasite from a family group or institution often poses significant problems\xe2\x80\x94either due to an incomplete cure or reinfection. Pinworm infection has no association with any socioeconomic level, race or culture. ","['Rectal examination', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Ophthalmologic and otologic diagnosis and treatment', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Mebendazole', 'Pyrantel (Evict)', 'Magaldrate', 'Lactulose', 'Clotrimazole Topical', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)']",symptom
100,Urethral valves,"['Side pain', 'Sharp abdominal pain', 'Lower abdominal pain', 'Suprapubic pain', 'Vomiting', 'Constipation', 'Blood in urine', 'Skin growth', 'Nausea', 'Muscle swelling', 'Low back weakness', 'Elbow weakness']"," isosorbide mononitrate (ismo), ","['Radiographic imaging procedure', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'X-ray computed tomography (Scan ct)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Nephrotomy and nephrostomy']","['Bactrim', 'Isosorbide Mononitrate (Ismo)', 'Cefprozil', 'Calcitriol', 'Zoledronic Acid (Reclast)', 'Sitagliptin (Januvia)', 'Hydroxychloroquine (Plaquenil)', 'Glucosamine', 'Rotavirus Vaccines (Rotavirus Vaccine)', 'Benazepril', 'Hepatitis B Vaccine (Obsolete)']",medication
101,Open wound of the neck,"['Skin lesion', 'Ache all over', 'Abnormal appearing skin', 'Peripheral edema', 'Foot or toe swelling', 'Skin swelling', 'Sweating', 'Skin on leg or foot looks infected', 'Delusions or hallucinations', 'Increased heart rate', 'Skin on arm or hand looks infected']"," collagenase topical, ","['Wound care management', 'Complete physical skin exam performed (ML)', 'Debridement of wound; infection or burn', 'Excision (Removal)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Traction; splints; and other wound care', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Mupirocin Topical', 'Collagenase Topical', 'Silver Nitrate Topical Each', 'Vancomycin', 'Linezolid (Zyvox)', 'Silver Sulfadiazine Topical', 'Cellulose', 'Zinc Sulfate', 'Sitagliptin (Januvia)', 'Lactulose', 'Probucol', 'Aloe Vera Topical']",medication
102,Achalasia,"['Sharp chest pain', 'Difficulty in swallowing', 'Back pain', 'Cough', 'Regurgitation', 'Hurts to breath', 'Throat feels tight', 'Rib pain', 'Lump in throat', 'Cramps and spasms', 'Hoarse voice', 'Chest tightness']","Achalasia /e\xc9\xaak\xc9\x99\xcb\x88le\xc9\xaazi\xc9\x99/, also known as esophageal achalasia, achalasia cardiae, cardiospasm, and esophageal aperistalsis, is an esophageal motility disorder involving the smooth muscle layer of the esophagus and the lower esophageal sphincter (LES). It is characterized by incomplete LES relaxation, increased LES tone, and lack of peristalsis of the esophagus (inability of smooth muscle to move food down the esophagus) in the absence of other explanations like cancer or fibrosis. ","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Famotidine', 'Midazolam (Versed)', 'Dicyclomine', 'Calcium Carbonate', 'Barium Sulfate', 'Tolterodine (Detrol)', 'Niacin', 'Glycerin Topical', 'Teriparatide (Forteo)']",symptom
103,Conductive hearing loss,"['Diminished hearing', 'Ear pain', 'Plugged feeling in ear', 'Redness in ear', 'Ringing in ear', 'Dizziness', 'Fluid in ear', 'Difficulty speaking', 'Lack of growth', 'Hoarse voice', 'Swollen or red tonsils', 'Low self-esteem']","Conductive hearing loss occurs when there is a problem conducting sound waves anywhere along the route through the outer ear, tympanic membrane (eardrum), or middle ear (ossicles). This type of hearing loss may occur in conjunction with sensorineural hearing loss or alone. ","['Ophthalmologic and otologic diagnosis and treatment', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Magnetic resonance imaging (Mri)', 'Excision (Removal)', 'Other therapeutic ear procedures', 'Occupational therapy assessment (Speech therapy)', 'Other therapeutic procedures']","['Carbamide Peroxide Otic', 'Ofloxacin', 'Boric Acid Topical', 'Olopatadine Nasal', 'Methylcellulose (Citrucel)', 'Oxazepam', 'Mitotane', 'Horse Chestnut Preparation (Venastat)', 'Aluminum Sulfate-Calcium Acetate Topical', 'Valdecoxib (Bextra)', 'Triethanolamine Polypeptide Oleate Otic']",disease
